MONETVILLE 2,January 2016,46.215,-80.303,ON,-10.3,12,NA,4,12,-29,12,24.3,12,NA,40.3,12,NA,,8,,,NA,537.6,0,6065252
SUDBURY CLIMATE,January 2016,46.632,-80.796,ON,-10.6,0,NA,2,0,-26.7,0,,,NA,74.2,0,NA,41,15,,,NA,887.1,0,6068145
SUDBURY A,January 2016,46.626,-80.798,ON,-10.5,0,NA,2,0,-26.9,0,91.2,0,NA,91.5,1,NA,38,13,,,NA,884.6,0,6068153
BONNER LAKE,January 2016,49.383,-82.124,ON,-14.5,2,NA,0.5,1,-33,1,99.1,1,NA,71.2,1,NA,,11,,,NA,942.5,0,6070QK6
EARLTON A,January 2016,47.695,-79.849,ON,-12.4,0,NA,2,0,-30.6,0,,,NA,,,NA,,,,,NA,941.5,0,6072223
EARLTON CLIMATE,January 2016,47.695,-79.849,ON,-12.7,2,NA,2,2,-31,0,,,NA,48.7,2,NA,17,8,,,NA,889.7,0,6072230
KAPUSKASING A,January 2016,49.412,-82.468,ON,-14.2,0,NA,1.4,0,-33.6,0,63.1,0,NA,66.7,0,NA,48,14,,,NA,997.7,0,6073976
KAPUSKASING CDA ON,January 2016,49.406,-82.444,ON,-14.6,1,NA,1.6,1,-34.7,0,,,NA,43.1,1,NA,,12,,,NA,978.4,0,6073980
KIRKLAND LAKE CS,January 2016,48.15,-80,ON,-12.8,2,NA,2.5,2,-31.1,0,,,NA,123.9,2,NA,35,13,,,NA,892.7,0,6074211
MOOSONEE,January 2016,51.291,-80.608,ON,-12.6,9,NA,1.4,9,-31.8,8,,,NA,,,NA,,,,,NA,672.5,0,6075420
MOOSONEE UA,January 2016,51.267,-80.65,ON,-15.1,2,4.9,1.5,2,-35.5,2,82.7,2,NA,54.1,2,NA,33,11,,,NA,959.7,0,6075425
MOOSONEE RCS,January 2016,51.292,-80.618,ON,-15.4,0,NA,1.4,0,-35,0,,,NA,73.7,0,NA,47,22,,,NA,1036.7,0,6075435
NAGAGAMI (AUT),January 2016,49.747,-84.164,ON,-14.4,0,NA,1.2,0,-35.9,0,,,NA,39.4,0,NA,50,11,,,NA,1004.4,0,6075543
TIMMINS CLIMATE,January 2016,48.557,-81.39,ON,-12.8,1,NA,1.4,1,-31.3,0,,,NA,55.5,1,NA,31,15,,,NA,924.1,0,6078282
TIMMINS A,January 2016,48.571,-81.377,ON,-13.2,0,NA,1.5,0,-31.1,0,,,NA,,,NA,,,,,NA,965.9,0,6078286
ALGONQUIN PARK EAST GATE,January 2016,45.533,-78.267,ON,-10.3,2,NA,6.5,2,-31.1,0,,,NA,59,2,NA,29,13,,,NA,821.5,0,6080192
NORTH BAY A,January 2016,46.364,-79.424,ON,-10.5,1,NA,3.3,1,-27.8,1,,,NA,54.1,1,NA,,10,,,NA,854.9,0,6085680
GORE BAY CLIMATE,January 2016,45.883,-82.567,ON,-7.1,0,NA,3.7,0,-21,0,,,NA,49,0,NA,18,11,,,NA,776.7,0,6092920
GREAT DUCK ISLAND (AUT),January 2016,45.633,-82.95,ON,-4.2,0,NA,5,0,-17,0,,,NA,,,NA,,,,,NA,687.1,0,6093005
SANDFIELD,January 2016,45.69,-81.982,ON,-6.4,0,NA,5,0,-26,0,73,0,NA,93.6,0,NA,34,19,,,NA,757.9,0,6097426
APPLETON,January 2016,45.186,-76.113,ON,-7.5,0,NA,7,0,-27.5,0,20.4,0,NA,45.8,0,NA,5,10,,,NA,791.6,0,6100285
BROCKVILLE CLIMATE,January 2016,44.635,-75.748,ON,-6.1,1,NA,8.5,1,-23.6,0,,,NA,38.9,1,NA,2,8,,,NA,724,0,6100970
BROCKVILLE PCC,January 2016,44.6,-75.667,ON,-5.1,0,2.7,10,0,-20.3,0,14.3,0,29,40.9,0,52,0,9,,,NA,716,0,6100971
CHALK RIVER AECL,January 2016,46.05,-77.367,ON,-9.3,12,2.5,4.5,12,-24,12,14.6,12,NA,15.2,12,NA,,5,,,NA,518.1,0,6101335
CORNWALL,January 2016,45.016,-74.749,ON,-5.7,0,2.8,12,0,-20,0,19,0,40,27.6,0,36,3,9,,,NA,735.2,0,6101874
DRUMMOND CENTRE,January 2016,45.032,-76.253,ON,-7.3,0,2.5,8,0,-25,0,24.8,0,57,69,0,102,0,7,,,NA,784,0,6102J13
HARTINGTON IHD,January 2016,44.428,-76.69,ON,-5.5,0,2.8,8,0,-20,0,31,0,72,80.8,0,107,9,11,,,NA,729.8,0,6103367
KEMPTVILLE CS,January 2016,45,-75.633,ON,-7.1,0,NA,7.8,0,-26.6,0,,,NA,33.1,0,NA,7,8,,,NA,776.8,0,6104027
KINGSTON CLIMATE,January 2016,44.223,-76.599,ON,-4.7,0,NA,7.6,0,-19.1,0,,,NA,52.1,1,NA,1,9,,,NA,704,0,6104142
LYNDHURST SHAWMERE,January 2016,44.517,-76.083,ON,-1.5,26,6.9,9.5,26,-14,26,2.6,26,NA,7,26,NA,8,3,,,NA,97.5,0,6104725
MOOSE CREEK WELLS,January 2016,45.251,-74.963,ON,-8.7,0,NA,7.6,0,-29.5,0,,,NA,,,NA,7,,,,NA,828.1,0,6105397
OMPAH-SEITZ,January 2016,45.054,-76.784,ON,-7.7,0,NA,6.5,0,-23,0,45.5,0,NA,88.5,0,NA,26,16,,,NA,795.8,0,6105762
OTTAWA CDA,January 2016,45.383,-75.717,ON,-7.5,0,2.7,7.6,0,-22.9,0,30.8,0,70,52.2,0,83,11,13,,,NA,790.4,0,6105976
OTTAWA CDA RCS,January 2016,45.383,-75.717,ON,-7.3,2,NA,6.1,2,-19.9,1,,,NA,50.8,2,NA,21,13,,,NA,732.3,0,6105978
OTTAWA INTL A,January 2016,45.317,-75.667,ON,-8,0,NA,6.4,0,-25.2,0,44.7,0,NA,43.8,0,NA,12,12,,,NA,804.8,0,6106001
PEMBROKE CLIMATE,January 2016,45.86,-77.252,ON,-9.4,1,NA,5.6,1,-28.4,0,,,NA,43,1,NA,23,11,,,NA,821.2,0,6106367
PETAWAWA AWOS 2,January 2016,45.95,-77.317,ON,-9.1,1,NA,5.9,0,-28.6,1,,,NA,50.5,1,NA,,12,,,NA,811.7,0,6106396
ST. ALBERT,January 2016,45.287,-75.064,ON,-9.3,0,0.9,7,0,-30,0,40,0,78,59.8,0,71,0,16,,,NA,845.8,0,6107276
PETAWAWA HOFFMAN,January 2016,45.883,-77.25,ON,-8.3,0,NA,5,0,-26.5,0,37.2,0,NA,60.2,0,NA,27,14,,,NA,815.6,0,610FC98
BALACLAVA,January 2016,44.67,-80.777,ON,,,NA,,,,,135.8,0,NA,163.4,0,NA,21,21,,,NA,,,6110470
BALDWIN,January 2016,44.267,-79.319,ON,-6,4,NA,9.5,4,-23,4,31.7,4,NA,31.7,4,NA,4,8,,,NA,649.1,0,6110480
BARRIE LANDFILL,January 2016,44.385,-79.736,ON,-6.5,15,NA,8,8,-21,9,50.6,8,NA,64.4,8,NA,,10,,,NA,391.2,0,6110556
BEATRICE CLIMATE,January 2016,45.14,-79.403,ON,-8.5,2,NA,6.8,2,-28.6,0,,,NA,91.7,2,NA,34,14,,,NA,767.5,0,6110607
COLDWATER WARMINSTER,January 2016,44.631,-79.539,ON,-6.2,0,NA,7.5,0,-22,0,70.6,0,NA,106,0,NA,18,18,,,NA,750.6,0,6111769
COLLINGWOOD,January 2016,44.5,-80.217,ON,-3.4,5,NA,11,5,-18.7,4,,,NA,44.7,5,NA,,10,,,NA,556.4,0,6111792
LAGOON CITY,January 2016,44.547,-79.217,ON,-5.9,2,NA,7.5,2,-20.7,0,,,NA,,,NA,,,,,NA,693.1,0,6114295
MARKDALE,January 2016,44.269,-80.712,ON,-6.2,6,NA,8.5,6,-23.5,6,111.3,6,NA,150.9,6,NA,18,18,,,NA,605.9,0,6114979
MIDLAND WATER POLLUTION CONTROL PLANT,January 2016,44.758,-79.875,ON,-6.6,18,1.9,5,18,-20,18,27,18,NA,34.3,18,NA,,8,,,NA,319.9,0,6115127
MUSKOKA,January 2016,44.975,-79.303,ON,-8.1,1,NA,6.2,1,-28.3,1,,,NA,62.1,1,NA,,7,,,NA,784.2,0,6115529
NIPISSING,January 2016,46.1,-79.521,ON,,,NA,,,,,30,13,NA,38.4,10,NA,,7,,,NA,,,6115669
ORILLIA BRAIN,January 2016,44.603,-79.439,ON,-6.9,10,NA,7,10,-20.5,10,56,10,NA,89.4,10,NA,0,13,,,NA,523.6,0,6115811
PARRY SOUND CCG,January 2016,45.344,-80.044,ON,-6.2,3,NA,6.1,3,-22.1,0,,,NA,89.6,7,NA,18,14,,,NA,677.5,0,6116257
RAVENSCLIFFE,January 2016,45.354,-79.27,ON,-8.7,0,NA,5.5,0,-27,0,99,0,NA,141.4,0,NA,40,17,,,NA,826.4,0,6116901
SHANTY BAY,January 2016,44.399,-79.633,ON,-5.7,0,2.1,7.5,0,-23.5,0,86.5,0,125,116.1,0,131,22,17,,,NA,733.4,0,6117684
BARRIE-ORO,January 2016,44.483,-79.55,ON,-7.1,2,NA,7.4,2,-25.3,0,,,NA,70.4,2,NA,23,12,,,NA,728.1,0,6117700
SPRUCEDALE,January 2016,45.425,-79.488,ON,,,NA,,,,,79.1,0,NA,189.4,0,NA,43,16,,,NA,,,6117981
THORNBURY 3,January 2016,44.551,-80.468,ON,,,NA,,,,,101.5,0,NA,134.8,0,NA,13,21,,,NA,,,6118240
UDORA,January 2016,44.263,-79.161,ON,-5.3,0,1.7,9,0,-22,0,64,0,163,91.8,0,141,2,14,,,NA,722.3,0,6119055
WIARTON A,January 2016,44.744,-81.109,ON,-4.8,0,NA,6.9,0,-21.9,0,110.3,0,NA,122.6,0,NA,20,19,,,NA,708,0,6119499
WESTERN ISLAND (AUT),January 2016,45.033,-80.367,ON,-3.5,1,NA,6.3,1,-16.1,0,,,NA,,,NA,,,,,NA,643.6,0,6119M51
BORDEN AWOS,January 2016,44.272,-79.912,ON,-6,1,NA,10.7,1,-26.7,0,,,NA,28,2,NA,,8,,,NA,719.9,0,611B002
EGBERT CS,January 2016,44.233,-79.783,ON,-5.8,3,NA,9.1,3,-21.4,0,,,NA,29.8,3,NA,5,10,,,NA,666,0,6.11E+03
COVE ISLAND (AUT),January 2016,45.333,-81.733,ON,-3.4,0,NA,6.1,0,-15.4,0,,,NA,,,NA,,,,,NA,663,0,61219J2
GODERICH,January 2016,43.767,-81.717,ON,-3.2,3,NA,8.9,3,-17.5,0,,,NA,43.9,4,NA,1,11,,,NA,593.9,0,6122847
KINCARDINE,January 2016,44.173,-81.623,ON,-4.8,13,NA,5,13,-16,13,52.2,13,NA,65.6,13,NA,,6,,,NA,409.9,0,6124127
SARNIA,January 2016,42.999,-82.309,ON,-3,0,NA,9.9,0,-15.6,0,,,NA,35.2,0,NA,,7,,,NA,651,0,6127510
SARNIA CLIMATE,January 2016,43,-82.3,ON,-3,2,NA,9.9,2,-16.1,0,,,NA,34.1,2,NA,3,10,,,NA,610,0,6127519
TOBERMORY RCS,January 2016,45.233,-81.633,ON,-4.7,1,NA,4.7,1,-16.2,0,,,NA,67.5,1,NA,9,15,,,NA,681.4,0,6128330
WROXETER,January 2016,43.863,-81.152,ON,,,NA,,,,,80.2,0,NA,120,0,NA,17,16,,,NA,,,6129660
AMHERSTBURG,January 2016,42.103,-83.094,ON,-1.8,24,1.2,11,21,-14,24,7,21,NA,38.2,21,NA,,4,,,NA,138.8,0,6130257
CHATHAM WPCP,January 2016,42.39,-82.215,ON,-3.7,21,-0.1,6.5,21,-12,21,1,21,NA,1,21,NA,,1,,,NA,217,0,6131415
DELHI CS,January 2016,42.867,-80.55,ON,-3.8,3,NA,11.2,3,-18.1,0,,,NA,44.9,5,NA,0,9,,,NA,610.8,0,6131983
FORT ERIE,January 2016,42.883,-78.967,ON,-2.9,4,1.3,9.5,4,-15.5,4,28,4,NA,42.2,4,NA,0,13,,,NA,563.3,0,6132470
GRIMSBY MOUNTAIN,January 2016,43.184,-79.558,ON,-2.6,0,NA,11.9,0,-15.6,0,29.2,0,NA,43.2,0,NA,0,10,,,NA,637.6,0,6133055
HARROW CDA AUTO,January 2016,42.033,-82.9,ON,-2.6,0,NA,10.5,0,-13.3,0,,,NA,39.1,0,NA,1,6,,,NA,637.1,0,6133362
KINGSVILLE MOE,January 2016,42.043,-82.674,ON,-2.5,2,1.2,10,2,-13,2,8,2,NA,9.5,2,NA,0,4,,,NA,594.4,0,6134190
LONG POINT (AUT),January 2016,42.567,-80.05,ON,-1.5,0,NA,10.9,0,-11.3,0,,,NA,,,NA,,,,,NA,605.5,0,6134F10
NEW GLASGOW,January 2016,42.514,-81.636,ON,-2.6,3,1.7,10,3,-15,3,15,3,NA,49,3,NA,0,10,,,NA,577,0,6135583
PORT COLBORNE,January 2016,42.883,-79.25,ON,-1,9,2.6,11,9,-12,9,16.8,9,NA,32.8,9,NA,0,8,,,NA,419,0,6136606
PORT WELLER (AUT),January 2016,43.25,-79.217,ON,-1.5,2,NA,12.7,2,-11.1,0,,,NA,23.4,2,NA,,3,,,NA,564.1,0,6136699
RAINHAM CENTURY FARM,January 2016,42.85,-79.767,ON,-3,2,NA,8.5,2,-15.5,2,5,2,NA,35.4,2,NA,0,6,,,NA,608,0,6137135
RIDGETOWN RCS,January 2016,42.45,-81.883,ON,-3.6,3,NA,11.2,3,-16.4,0,,,NA,30.4,3,NA,1,6,,,NA,605,0,6137154
ST CATHARINES BROCK U,January 2016,43.118,-79.248,ON,,,NA,,,,,21,1,NA,34.7,1,NA,0,11,,,NA,,,6137290
ST THOMAS WPCP,January 2016,42.768,-81.205,ON,-3.9,6,0.8,10.5,3,-18.5,3,21,3,NA,49.8,3,NA,0,9,,,NA,547.7,0,6137362
TILLSONBURG NORTH,January 2016,42.861,-80.741,ON,-3.4,0,NA,10.5,0,-17,0,34.7,0,NA,70.6,0,NA,2,12,,,NA,663.6,0,6138269
TILLSONBURG WWTP,January 2016,42.855,-80.722,ON,,,NA,,,,,21,1,NA,55.2,1,NA,0,11,,,NA,,,6138270
VINELAND STATION RCS,January 2016,43.183,-79.4,ON,-2.3,3,NA,13.1,3,-13.9,0,,,NA,25.9,3,NA,,6,,,NA,568.9,0,6139148
WELLAND-PELHAM,January 2016,42.967,-79.333,ON,-3.2,0,NA,12.8,0,-16.2,0,,,NA,41.9,0,NA,1,10,,,NA,657.2,0,6139449
WINDSOR RIVERSIDE,January 2016,42.333,-82.933,ON,-2,0,NA,11.5,0,-12.5,0,20.8,0,NA,50.4,0,NA,0,9,,,NA,618.5,0,6139520
WINDSOR A,January 2016,42.276,-82.955,ON,-2.9,1,NA,10.4,1,-13.2,0,19.7,1,NA,47.7,2,NA,,8,,,NA,627.9,0,6139527
PORT COLBORNE (AUT),January 2016,42.867,-79.25,ON,-2.1,2,NA,9.9,2,-11.9,0,,,NA,,,NA,,,,,NA,583.8,0,613F606
ERIEAU (AUT),January 2016,42.25,-81.9,ON,-2,2,NA,6.5,2,-12.1,0,,,NA,,,NA,,,,,NA,579.9,0,613KLLM
POINT PELEE CS,January 2016,41.949,-82.519,ON,-2.3,1,NA,8.5,1,-14.9,0,,,NA,,,NA,,,,,NA,608,0,613P001
BRANTFORD AIRPORT,January 2016,43.138,-80.331,ON,-4.3,0,NA,10.5,0,-16.7,0,,,NA,32.4,0,NA,0,8,,,NA,692.6,0,6140942
DORCHESTER,January 2016,43.002,-81.033,ON,,,NA,,,,,45.2,0,NA,83.1,0,NA,2,16,,,NA,,,6142066
ELORA RCS,January 2016,43.65,-80.417,ON,-6.2,3,NA,7.4,3,-18.9,0,,,NA,50.6,4,NA,13,14,,,NA,677.3,0,6142286
FERGUS SHAND DAM,January 2016,43.735,-80.33,ON,-5.8,0,1.6,7,0,-19,0,60.8,0,152,94.8,0,140,12,17,,,NA,737,0,6142400
FERGUS MOE,January 2016,43.702,-80.379,ON,-5.8,2,NA,7.5,1,-19.5,1,65.2,1,NA,97.8,1,NA,15,19,,,NA,691.3,0,6142402
FOLDENS,January 2016,43.018,-80.781,ON,-4.4,0,1.4,9,0,-17,0,23.2,0,78,55.7,0,88,1,12,,,NA,694.6,0,6142420
GUELPH TURFGRASS,January 2016,43.55,-80.217,ON,-5.2,2,NA,9,2,-20.2,0,,,NA,,,NA,,,,,NA,672.7,0,6143089
KITCHENER/WATERLOO,January 2016,43.461,-80.379,ON,-5.2,0,NA,9.1,0,-18.9,0,,,NA,27.8,0,NA,,8,,,NA,717.8,0,6144239
LONDON A,January 2016,43.033,-81.151,ON,-4.6,0,NA,10.4,0,-18.2,0,,,NA,,,NA,,,,,NA,699.5,0,6144473
LONDON INT'L AIRPORT,January 2016,43.033,-81.151,ON,,,,,,,,42.5,0,86,75.8,0,102,0,13,,,NA,,,6144475
LONDON CS,January 2016,43.033,-81.15,ON,-4.4,2,NA,10.5,1,-17.5,1,,,NA,49.6,2,NA,6,13,,,NA,649.9,0,6144478
MOUNT FOREST (AUT),January 2016,43.983,-80.75,ON,-5.8,1,NA,7.3,1,-19.4,0,,,NA,85,7,NA,17,19,,,NA,715.3,0,6145504
ROSEVILLE,January 2016,43.354,-80.474,ON,-5.1,0,1.4,8.5,0,-19,0,37,0,95,63.4,0,93,2,12,,,NA,715.5,0,6147188
STRATFORD WWTP,January 2016,43.369,-81.005,ON,-6.8,13,-0.7,5.5,13,-19,13,50,13,NA,68,13,NA,,10,,,NA,445.8,0,6148105
STRATHROY-MULLIFARRY,January 2016,42.981,-81.643,ON,-4.3,0,NA,10,0,-20.5,0,34,0,NA,63.6,0,NA,3,14,,,NA,690.2,0,6148122
WATERLOO WELLINGTON 2,January 2016,43.45,-80.383,ON,,,NA,,,,,38.4,0,NA,60.1,0,NA,4,15,,,NA,,,6149389
WOODSTOCK,January 2016,43.136,-80.771,ON,-4.7,18,1,5.5,18,-17,18,4,18,NA,25,18,NA,,4,,,NA,295.7,0,6149625
BELLEVILLE,January 2016,44.151,-77.395,ON,-5.5,6,1.2,6.5,6,-19.5,6,14.8,6,NA,48,6,NA,,9,,,NA,587.4,0,6150689
BLACKSTOCK,January 2016,44.1,-78.833,ON,-5.4,0,NA,10.5,0,-22,0,24.2,0,NA,76,0,NA,1,12,,,NA,726.9,0,6150790
