,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
36,"It's You","Ali Gatie",1437235,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
37,"hot girl bummer",blackbear,1434832,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
38,Lover,"Taylor Swift",1391670,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
39,"Piece Of Your Heart",MEDUZA,1383533,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
40,110,"Capital Bra",1369621,https://open.spotify.com/track/5sdQ7VUx6GOfsRoSxnK1YG
41,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,1344234,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
42,"Higher Love",Kygo,1282287,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
43,Graveyard,Halsey,1275722,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
44,Takeaway,"The Chainsmokers",1267897,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
45,"Die For Me (feat. Future & Halsey)","Post Malone",1256615,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK
46,"The London (feat. J. Cole & Travis Scott)","Young Thug",1239540,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
47,"QUE PRETENDES","J Balvin",1225154,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
48,Wow.,"Post Malone",1206807,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
49,"Good As Hell",Lizzo,1199850,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
50,"Con Altura",ROSALÍA,1180758,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
51,Shallow,"Lady Gaga",1148595,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
52,"7 rings","Ariana Grande",1145260,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
53,"223's (feat. 9lokknine)","YNW Melly",1132670,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
54,"Slide Away","Miley Cyrus",1107988,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf
55,"On The Road (feat. Meek Mill & Lil Baby)","Post Malone",1100077,https://open.spotify.com/track/12Fkyg9lpmaz2zmKOfw2Y2
56,"11 PM",Maluma,1098394,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
57,Motivation,Normani,1080953,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
58,Happier,Marshmello,1061408,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
59,Camelot,"NLE Choppa",1054825,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
60,Teeth,"5 Seconds of Summer",1042983,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
61,"lovely (with Khalid)","Billie Eilish",1038611,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
62,"If I Can't Have You","Shawn Mendes",1027627,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
63,"Ride It",Regard,1023577,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
64,Sucker,"Jonas Brothers",1008475,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
65,"You Need To Calm Down","Taylor Swift",993308,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
66,"Talk (feat. Disclosure)",Khalid,981177,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
67,"Hot (feat. Gunna)","Young Thug",975869,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
68,"Bohemian Rhapsody - Remastered 2011",Queen,960073,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
69,"Behind Barz - Bonus",Drake,955008,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
70,"Con Calma","Daddy Yankee",946913,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
71,I.F.L.Y.,Bazzi,937698,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
72,"when the party's over","Billie Eilish",932163,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
73,September,"Earth, Wind & Fire",925415,https://open.spotify.com/track/1mqlc0vEP9mU1kZgTi6LIQ
74,"Without Me",Halsey,906371,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
75,"One Thing Right",Marshmello,899275,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
76,"A Thousand Bad Times","Post Malone",896133,https://open.spotify.com/track/2J0NXdHr6MYvKDSxB7k3V2
77,"Post Malone (feat. RANI)","Sam Feldt",891867,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
78,"Old Town Road","Lil Nas X",875919,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
79,Believer,"Imagine Dragons",873005,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
80,Roller,"Apache 207",871929,https://open.spotify.com/track/5dhQeuLGmlhfwlI6BWfSpo
81,"rockstar (feat. 21 Savage)","Post Malone",866977,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
82,"Did It Again","Lil Tecca",865305,https://open.spotify.com/track/6alCTRgBPoeAFi2N4il9Q4
83,Goteo,Duki,862403,https://open.spotify.com/track/1EoEU4HY57qaITp06TkC6B
84,"SICKO MODE","Travis Scott",859387,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
85,"Eastside (with Halsey & Khalid)","benny blanco",850315,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
86,Suge,DaBaby,828262,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
87,"200 km/h","Apache 207",827028,https://open.spotify.com/track/2wvLtM25eMpHK7hkidqte2
88,"Sweet but Psycho","Ava Max",825262,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
89,"Otro Trago",Sech,825115,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
90,"Dancing With A Stranger (with Normani)","Sam Smith",824214,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
91,"Panini - DaBaby Remix","Lil Nas X",823006,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD
92,"thank u, next","Ariana Grande",822472,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
93,Shameless,"Camila Cabello",819338,https://open.spotify.com/track/3UYiU57SMiAS5LqolhHJw1
94,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dimelo Flow",818661,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
95,"Shape of You","Ed Sheeran",814793,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
96,"Si Se Da - Remix","Myke Towers",813811,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
97,"3 Nights","Dominic Fike",812467,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
98,"Calma - Remix","Pedro Capó",812061,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
99,"Baby (Lil Baby feat. DaBaby)","Quality Control",808028,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
100,"Ransom (with Juice WRLD) - Remix","Lil Tecca",798652,https://open.spotify.com/track/0DZJACISivjWjscIp5Kg1q
101,"Better Now","Post Malone",782882,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
102,"Let Me Down Slowly","Alec Benjamin",781381,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
103,INTRO,DaBaby,774980,https://open.spotify.com/track/05WepN8vrMLJG5r8XRdLeL
104,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",773025,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
105,"Never Really Over","Katy Perry",768273,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
106,"Pop Out (feat. Lil Tjay)","Polo G",764064,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
107,"Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","Megan Thee Stallion",762581,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk
108,"Lucid Dreams","Juice WRLD",758974,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
109,comethru,"Jeremy Zucker",751805,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
110,"Que Calor (feat. J Balvin & El Alfa)","Major Lazer",751497,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
111,"Verte Ir","DJ Luian",749801,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
112,"Say You Won't Let Go","James Arthur",747248,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
113,"Love Me","Lil Tecca",745479,https://open.spotify.com/track/3TLwAp3uX1nKsVxrDhNPOL
114,"Te Robaré","Nicky Jam",742308,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
115,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",736423,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
116,Perfect,"Ed Sheeran",734595,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
117,Youngblood,"5 Seconds of Summer",730800,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
118,"Girls Like You (feat. Cardi B)","Maroon 5",729861,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
119,"Be Alright","Dean Lewis",729581,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
120,SAD!,XXXTENTACION,726588,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
121,"I'm Gonna Be","Post Malone",726330,https://open.spotify.com/track/1ckLp8lCl8LipXI0ypX72m
122,Indeciso,Reik,724425,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
123,"I Like Me Better",Lauv,724358,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
124,Allergic,"Post Malone",723864,https://open.spotify.com/track/1YscJ7yVTlFxW3eF6pv5ba
125,Instagram,"Dimitri Vegas & Like Mike",721973,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
126,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,721035,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
127,"bury a friend","Billie Eilish",719302,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
128,"Staring At The Sun (feat. SZA)","Post Malone",717785,https://open.spotify.com/track/5KE9b4x7Zj2A8XtbkqhqTe
129,"Rescue Me",OneRepublic,712191,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
130,Cuaderno,Dalex,709398,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
131,Better,Khalid,703424,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
132,goosebumps,"Travis Scott",701562,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
133,"High Hopes","Panic! At The Disco",701526,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
134,"Tal Vez","Paulo Londra",700504,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
135,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,699648,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
136,"all the good girls go to hell","Billie Eilish",699638,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
137,"Bad Bad Bad (feat. Lil Baby)","Young Thug",696093,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
138,Quizás,"Rich Music LTD",693070,https://open.spotify.com/track/4AjWbAwRpxk2worpjNH5CS
139,"Only Human","Jonas Brothers",690229,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
140,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",687562,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
141,"Pa Mí - Remix",Dalex,686786,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
142,"Don't Stop Me Now - Remastered",Queen,685149,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
143,"The Git Up","Blanco Brown",683607,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
144,Moonlight,XXXTENTACION,682658,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
145,"Don't Call Me Up",Mabel,681695,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
146,"Summer Cem (feat. Luciano)","Summer Cem",677260,https://open.spotify.com/track/3QIrkRSTz3yPd44HzN6qJr
147,2002,Anne-Marie,673702,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
148,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",670069,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
149,F.N,"Lil Tjay",669524,https://open.spotify.com/track/0UPBidRYcgJ2mjZlk08V8x
150,"Call You Mine","The Chainsmokers",666543,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT
151,"Te Quemaste","Manuel Turizo",665994,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
152,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",662949,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
153,"MIDDLE CHILD","J. Cole",657335,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
154,"bad guy (with Justin Bieber)","Billie Eilish",657201,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
155,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",654326,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
156,Thunder,"Imagine Dragons",654061,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
157,"i'm so tired...",Lauv,651784,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
158,"Another One Bites The Dust - Remastered 2011",Queen,650178,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
159,Feelings,Lauv,646132,https://open.spotify.com/track/0y675KDleCZEudjoeL1sQQ
160,Ronin,Bushido,642045,https://open.spotify.com/track/2l2UsmkfgmRC6fIDwwsiNM
161,Runaway,"Sebastian Yatra",637292,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ
162,"Boy With Luv (feat. Halsey)",BTS,633672,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
163,Atrévete,"Nicky Jam",630798,https://open.spotify.com/track/3KekO5WUfJsh7kYU9o2w50
164,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",626687,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
165,"No Te Debí Besar","C. Tangana",625093,https://open.spotify.com/track/1KdwnsWOvhM53vezy5ROuf
166,"SOS (feat. Aloe Blacc)",Avicii,622620,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
167,HP,Maluma,620778,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
168,"Too Good At Goodbyes","Sam Smith",620265,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
169,"Jocelyn Flores",XXXTENTACION,617414,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
170,"Going Bad (feat. Drake)","Meek Mill",616616,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
171,"Right Back (feat. A Boogie Wit Da Hoodie)",Khalid,612973,https://open.spotify.com/track/6PYnUsNEpYC7A4BS2sjw3L
172,"break up with your girlfriend, i'm bored","Ariana Grande",603431,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
173,Bruises,"Lewis Capaldi",603248,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
174,"The Man","Taylor Swift",602138,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70
175,"All of Me","John Legend",599302,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
176,"SLOW DANCING IN THE DARK",Joji,598525,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
177,"La Boca - Remix","Mau y Ricky",594876,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT
178,"Cruel Summer","Taylor Swift",592624,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
179,"Que Mas Pues - Remix",Sech,592230,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
180,"Havana (feat. Young Thug)","Camila Cabello",591755,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
181,"Get You The Moon (feat. Snøw)",Kina,586949,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
182,"In My Mind",Dynoro,586920,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
183,"Here With Me",Marshmello,586673,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
184,"Murder On My Mind","YNW Melly",585964,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
185,Adriana,"RAF Camora",585899,https://open.spotify.com/track/4G3gFk4oyvt8klQEVJBzea
186,"MIA (feat. Drake)","Bad Bunny",585596,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
187,"Be Honest (feat. Burna Boy)","Jorja Smith",585123,https://open.spotify.com/track/5pAbCxt9e3f81lOmjIXwzd
188,"So Am I","Ava Max",582916,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
189,EARFQUAKE,"Tyler, The Creator",582092,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
190,Myself,"Post Malone",580852,https://open.spotify.com/track/2cvOfKHOHgwQlLiuLKP2xR
191,"God's Plan",Drake,579181,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
192,Photograph,"Ed Sheeran",578409,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
193,changes,XXXTENTACION,576709,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
194,"Under Pressure - Remastered",Queen,576430,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
195,"Cuerpo en Venta",Noriel,575223,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
196,"Something Just Like This","The Chainsmokers",574750,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
197,Closer,"The Chainsmokers",574444,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
198,Africa,TOTO,568640,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
199,"Si Supieras","Daddy Yankee",568560,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu
200,"wish you were gay","Billie Eilish",567736,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
