,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
43,"Slide Away","Miley Cyrus",1570653,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf
44,Takeaway,"The Chainsmokers",1538365,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
45,"The London (feat. J. Cole & Travis Scott)","Young Thug",1515374,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
46,"A Thousand Bad Times","Post Malone",1507188,https://open.spotify.com/track/2J0NXdHr6MYvKDSxB7k3V2
47,"hot girl bummer",blackbear,1484124,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
48,Motivation,Normani,1467930,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
49,"QUE PRETENDES","J Balvin",1420071,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
50,"You Need To Calm Down","Taylor Swift",1311225,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
51,Shallow,"Lady Gaga",1304265,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
52,"Con Altura",ROSALÍA,1288939,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
53,"7 rings","Ariana Grande",1287258,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
54,"Good As Hell",Lizzo,1272973,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
55,Wow.,"Post Malone",1234380,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
56,Teeth,"5 Seconds of Summer",1208400,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
57,"11 PM",Maluma,1202001,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
58,"If I Can't Have You","Shawn Mendes",1194195,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
59,"Hot (feat. Gunna)","Young Thug",1164789,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
60,"I'm Gonna Be","Post Malone",1163580,https://open.spotify.com/track/1ckLp8lCl8LipXI0ypX72m
61,"Talk (feat. Disclosure)",Khalid,1162706,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
62,Allergic,"Post Malone",1160401,https://open.spotify.com/track/1YscJ7yVTlFxW3eF6pv5ba
63,Sucker,"Jonas Brothers",1152448,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
64,"Staring At The Sun (feat. SZA)","Post Malone",1149062,https://open.spotify.com/track/5KE9b4x7Zj2A8XtbkqhqTe
65,Happier,Marshmello,1132894,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
66,"lovely (with Khalid)","Billie Eilish",1129212,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
67,I.F.L.Y.,Bazzi,1118916,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
68,Camelot,"NLE Choppa",1080538,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
69,"Post Malone (feat. RANI)","Sam Feldt",1067644,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
70,Shameless,"Camila Cabello",1054930,https://open.spotify.com/track/3UYiU57SMiAS5LqolhHJw1
71,"Con Calma","Daddy Yankee",1042356,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
72,"when the party's over","Billie Eilish",1041661,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
73,"Behind Barz - Bonus",Drake,1019911,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
74,"Without Me",Halsey,1014872,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
75,"One Thing Right",Marshmello,1006938,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
76,"The Man","Taylor Swift",1002741,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70
77,"SICKO MODE","Travis Scott",996759,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
78,"Baby (Lil Baby feat. DaBaby)","Quality Control",992009,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
79,"Dancing With A Stranger (with Normani)","Sam Smith",986113,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
80,"Ride It",Regard,980121,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
81,"Eastside (with Halsey & Khalid)","benny blanco",975478,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
82,"rockstar (feat. 21 Savage)","Post Malone",964667,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
83,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",963360,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
84,"Bohemian Rhapsody - Remastered 2011",Queen,961050,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
85,"223's (feat. 9lokknine)","YNW Melly",955111,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
86,"Never Really Over","Katy Perry",953394,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
87,"thank u, next","Ariana Grande",950954,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
88,"3 Nights","Dominic Fike",949845,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
89,"Panini - DaBaby Remix","Lil Nas X",938533,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD
90,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dimelo Flow",938157,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
91,"Si Se Da - Remix","Myke Towers",927681,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
92,Myself,"Post Malone",922577,https://open.spotify.com/track/2cvOfKHOHgwQlLiuLKP2xR
93,"Otro Trago",Sech,917557,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
94,Suge,DaBaby,907157,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
95,"Sweet but Psycho","Ava Max",905642,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
96,"Did It Again","Lil Tecca",905020,https://open.spotify.com/track/6alCTRgBPoeAFi2N4il9Q4
97,Believer,"Imagine Dragons",900175,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
98,"Que Calor (feat. J Balvin & El Alfa)","Major Lazer",899665,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
99,Goteo,Duki,892190,https://open.spotify.com/track/1EoEU4HY57qaITp06TkC6B
100,"Calma - Remix","Pedro Capó",887257,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
101,"Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","Megan Thee Stallion",886109,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk
102,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,872081,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
103,Instagram,"Dimitri Vegas & Like Mike",869938,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
104,"Bad Bad Bad (feat. Lil Baby)","Young Thug",869739,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
105,"Shape of You","Ed Sheeran",864308,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
106,"Rescue Me",OneRepublic,862812,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
107,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",861404,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
108,"Verte Ir","DJ Luian",853661,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
109,Roller,"Apache 207",853216,https://open.spotify.com/track/5dhQeuLGmlhfwlI6BWfSpo
110,"Better Now","Post Malone",846978,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
111,"Love Me","Lil Tecca",844279,https://open.spotify.com/track/3TLwAp3uX1nKsVxrDhNPOL
112,"Old Town Road","Lil Nas X",836485,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
113,"Te Robaré","Nicky Jam",834550,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
114,"Say You Won't Let Go","James Arthur",833915,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
115,comethru,"Jeremy Zucker",832898,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
116,"Ransom (with Juice WRLD) - Remix","Lil Tecca",827316,https://open.spotify.com/track/0DZJACISivjWjscIp5Kg1q
117,"I Know","Post Malone",825172,https://open.spotify.com/track/6b2mfHMqWCA74XmUuVJm8r
118,"Girls Like You (feat. Cardi B)","Maroon 5",822852,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
119,Youngblood,"5 Seconds of Summer",820096,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
120,"Pop Out (feat. Lil Tjay)","Polo G",819719,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
121,"Let Me Down Slowly","Alec Benjamin",819486,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
122,Better,Khalid,816257,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
123,"Call You Mine","The Chainsmokers",812782,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT
124,"bury a friend","Billie Eilish",811923,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
125,"Te Quemaste","Manuel Turizo",810875,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
126,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",803904,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
127,"Be Alright","Dean Lewis",802986,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
128,"Lucid Dreams","Juice WRLD",801566,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
129,goosebumps,"Travis Scott",801454,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
130,"I Like Me Better",Lauv,801233,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
131,"Don't Call Me Up",Mabel,798568,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
132,"Only Human","Jonas Brothers",798132,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
133,"Cruel Summer","Taylor Swift",797708,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
134,"all the good girls go to hell","Billie Eilish",796328,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
135,Perfect,"Ed Sheeran",793843,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
136,Cuaderno,Dalex,789584,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
137,"High Hopes","Panic! At The Disco",784705,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
138,Indeciso,Reik,779397,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
139,"MIDDLE CHILD","J. Cole",774135,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
140,Internet,"Post Malone",767130,https://open.spotify.com/track/0KAzP1Rbp0Vz5pw8i1KDDI
141,"Tal Vez","Paulo Londra",764893,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
142,"Pa Mí - Remix",Dalex,763697,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
143,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,760656,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
144,"bad guy (with Justin Bieber)","Billie Eilish",760302,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
145,2002,Anne-Marie,751610,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
146,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",747720,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
147,F.N,"Lil Tjay",746720,https://open.spotify.com/track/0UPBidRYcgJ2mjZlk08V8x
148,"i'm so tired...",Lauv,735676,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
149,Runaway,"Sebastian Yatra",733716,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ
150,SAD!,XXXTENTACION,731623,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
151,"SOS (feat. Aloe Blacc)",Avicii,731153,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
152,"Right Back (feat. A Boogie Wit Da Hoodie)",Khalid,728174,https://open.spotify.com/track/6PYnUsNEpYC7A4BS2sjw3L
153,Genick,Loredana,727940,https://open.spotify.com/track/1AGjF8pckOxTGeb5zubyqH
154,"Going Bad (feat. Drake)","Meek Mill",726906,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
155,"Be Honest (feat. Burna Boy)","Jorja Smith",719467,https://open.spotify.com/track/5pAbCxt9e3f81lOmjIXwzd
156,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",716055,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
157,Atrévete,"Nicky Jam",715649,https://open.spotify.com/track/3KekO5WUfJsh7kYU9o2w50
158,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",714701,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
159,"Don't Stop Me Now - Remastered",Queen,708075,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
160,"Too Good At Goodbyes","Sam Smith",707868,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
161,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",704774,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
162,"Boy With Luv (feat. Halsey)",BTS,699176,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
163,"Kein Plan",Loredana,694677,https://open.spotify.com/track/2d3WpbJFBND2vwMJyULdfU
164,"break up with your girlfriend, i'm bored","Ariana Grande",690931,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
165,"I Forgot That You Existed","Taylor Swift",690140,https://open.spotify.com/track/43rA71bccXFGD4C8GOpIlN
166,"Si Supieras","Daddy Yankee",686973,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu
167,Thunder,"Imagine Dragons",684371,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
168,HP,Maluma,679413,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
169,Moonlight,XXXTENTACION,678876,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
170,"So Am I","Ava Max",677281,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
171,Bruises,"Lewis Capaldi",676458,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
172,"Here With Me",Marshmello,672638,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
173,"Another One Bites The Dust - Remastered 2011",Queen,671979,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
174,"La Boca - Remix","Mau y Ricky",670456,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT
175,"The Git Up","Blanco Brown",670371,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
176,"All of Me","John Legend",666487,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
177,EARFQUAKE,"Tyler, The Creator",665317,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
178,"Que Mas Pues - Remix",Sech,658981,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
179,Wanted,OneRepublic,657046,https://open.spotify.com/track/6hLkeOMrhZ2CMLBp2of576
180,Photograph,"Ed Sheeran",655275,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
181,"BUTTERFLY EFFECT","Travis Scott",655158,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
182,"Mad Love",Mabel,652267,https://open.spotify.com/track/0Zp10WiPeEi6EUJZvWcNT9
183,"MIA (feat. Drake)","Bad Bunny",648765,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
184,"In My Mind",Dynoro,647850,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
185,"All Around The World (La La La)",R3HAB,647384,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
186,"Something Just Like This","The Chainsmokers",642253,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
187,"God's Plan",Drake,639801,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
188,"Babushka Boi","A$AP Rocky",638978,https://open.spotify.com/track/643PW82aBMUa1FiWi5VQY7
189,Closer,"The Chainsmokers",635448,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
190,"Havana (feat. Young Thug)","Camila Cabello",634774,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
191,"Jocelyn Flores",XXXTENTACION,634398,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
192,"wish you were gay","Billie Eilish",634130,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
193,Paradise,Bazzi,631603,https://open.spotify.com/track/0Rx0DJI556Ix5gBny6EWmn
194,"Pure Water (with Migos)",Mustard,629154,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
195,"Wonderwall - Remastered",Oasis,628248,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
196,"Go Loko (feat. Tyga, Jon Z)",YG,626208,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
197,"Get You The Moon (feat. Snøw)",Kina,622560,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
198,Ritual,Tiësto,620834,https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa
199,"i love you","Billie Eilish",620750,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
200,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",619399,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
