,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
17,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",2654608,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
18,"Enemies (feat. DaBaby)","Post Malone",2370688,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
19,"Old Town Road - Remix","Lil Nas X",2368953,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
20,Panini,"Lil Nas X",2341235,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
21,"Hollywood's Bleeding","Post Malone",2335522,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
22,Callaita,"Bad Bunny",2325725,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
23,"Truth Hurts",Lizzo,2217583,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
24,"Yo x Ti, Tu x Mi",ROSALÍA,2175794,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
25,"LA CANCIÓN","J Balvin",2111350,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
26,Liar,"Camila Cabello",2096038,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
27,"No Me Conoce - Remix","Jhay Cortez",2075586,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
28,"boyfriend (with Social House)","Ariana Grande",2062491,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
29,Tutu,Camilo,2056865,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
30,"No Guidance (feat. Drake)","Chris Brown",1987182,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
31,"Adicto (with Anuel AA & Ozuna)",Tainy,1955772,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
32,Memories,"Maroon 5",1930128,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
33,"Money In The Grave (Drake ft. Rick Ross)",Drake,1858419,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
34,"Piece Of Your Heart",MEDUZA,1827391,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
35,"Die For Me (feat. Future & Halsey)","Post Malone",1806603,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK
36,Lover,"Taylor Swift",1762293,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
37,"Otro Trago - Remix",Sech,1736642,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
38,"Higher Love",Kygo,1726734,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
39,"hot girl bummer",blackbear,1720449,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
40,"Soltera - Remix",Lunay,1703915,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
41,Graveyard,Halsey,1680020,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
42,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,1662910,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
43,"It's You","Ali Gatie",1623725,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
44,Takeaway,"The Chainsmokers",1600004,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
45,"On The Road (feat. Meek Mill & Lil Baby)","Post Malone",1587385,https://open.spotify.com/track/12Fkyg9lpmaz2zmKOfw2Y2
46,Wow.,"Post Malone",1585902,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
47,"The London (feat. J. Cole & Travis Scott)","Young Thug",1585886,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
48,110,"Capital Bra",1523448,https://open.spotify.com/track/5sdQ7VUx6GOfsRoSxnK1YG
49,"QUE PRETENDES","J Balvin",1486242,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
50,"Slide Away","Miley Cyrus",1459452,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf
51,"Good As Hell",Lizzo,1430854,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
52,Motivation,Normani,1419791,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
53,"Behind Barz - Bonus",Drake,1392533,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
54,Shallow,"Lady Gaga",1388209,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
55,"A Thousand Bad Times","Post Malone",1344025,https://open.spotify.com/track/2J0NXdHr6MYvKDSxB7k3V2
56,"7 rings","Ariana Grande",1335869,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
57,Ronin,Bushido,1326935,https://open.spotify.com/track/2l2UsmkfgmRC6fIDwwsiNM
58,"Con Altura",ROSALÍA,1324331,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
59,"11 PM",Maluma,1280104,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
60,"You Need To Calm Down","Taylor Swift",1266782,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
61,Camelot,"NLE Choppa",1255383,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
62,"200 km/h","Apache 207",1247666,https://open.spotify.com/track/2wvLtM25eMpHK7hkidqte2
63,Teeth,"5 Seconds of Summer",1234966,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
64,"Ride It",Regard,1222161,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
65,"Hot (feat. Gunna)","Young Thug",1218233,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
66,"223's (feat. 9lokknine)","YNW Melly",1204584,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
67,Happier,Marshmello,1203865,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
68,"If I Can't Have You","Shawn Mendes",1199554,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
69,Sucker,"Jonas Brothers",1189725,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
70,Roller,"Apache 207",1150343,https://open.spotify.com/track/5dhQeuLGmlhfwlI6BWfSpo
71,"Con Calma","Daddy Yankee",1146987,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
72,"Talk (feat. Disclosure)",Khalid,1146490,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
73,Feelings,Lauv,1138082,https://open.spotify.com/track/0y675KDleCZEudjoeL1sQQ
74,"lovely (with Khalid)","Billie Eilish",1127244,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
75,"Post Malone (feat. RANI)","Sam Feldt",1117580,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
76,"Summer Cem (feat. Luciano)","Summer Cem",1092422,https://open.spotify.com/track/3QIrkRSTz3yPd44HzN6qJr
77,"Bohemian Rhapsody - Remastered 2011",Queen,1084959,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
78,Adriana,"RAF Camora",1070011,https://open.spotify.com/track/4G3gFk4oyvt8klQEVJBzea
79,"SICKO MODE","Travis Scott",1066727,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
80,"One Thing Right",Marshmello,1062868,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
81,I.F.L.Y.,Bazzi,1062795,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
82,"Without Me",Halsey,1032855,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
83,"rockstar (feat. 21 Savage)","Post Malone",1031806,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
84,"Panini - DaBaby Remix","Lil Nas X",1030063,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD
85,"Baby (Lil Baby feat. DaBaby)","Quality Control",1025600,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
86,"when the party's over","Billie Eilish",1025567,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
87,"I'm Gonna Be","Post Malone",1011972,https://open.spotify.com/track/1ckLp8lCl8LipXI0ypX72m
88,"Did It Again","Lil Tecca",1011080,https://open.spotify.com/track/6alCTRgBPoeAFi2N4il9Q4
89,"Eastside (with Halsey & Khalid)","benny blanco",1008066,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
90,"Dancing With A Stranger (with Normani)","Sam Smith",1003316,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
91,"3 Nights","Dominic Fike",1000799,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
92,Allergic,"Post Malone",1000183,https://open.spotify.com/track/1YscJ7yVTlFxW3eF6pv5ba
93,Shameless,"Camila Cabello",996328,https://open.spotify.com/track/3UYiU57SMiAS5LqolhHJw1
94,Suge,DaBaby,991384,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
95,"Staring At The Sun (feat. SZA)","Post Malone",983382,https://open.spotify.com/track/5KE9b4x7Zj2A8XtbkqhqTe
96,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dimelo Flow",977285,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
97,Believer,"Imagine Dragons",976946,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
98,"Sweet but Psycho","Ava Max",976300,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
99,"Calma - Remix","Pedro Capó",970852,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
100,"Never Really Over","Katy Perry",965923,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
101,Goteo,Duki,963497,https://open.spotify.com/track/1EoEU4HY57qaITp06TkC6B
102,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",962529,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
103,"Otro Trago",Sech,956907,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
104,"thank u, next","Ariana Grande",956521,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
105,"Que Calor (feat. J Balvin & El Alfa)","Major Lazer",953304,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
106,Instagram,"Dimitri Vegas & Like Mike",946511,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
107,"Si Se Da - Remix","Myke Towers",946344,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
108,"Old Town Road","Lil Nas X",944140,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
109,"Shape of You","Ed Sheeran",940558,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
110,"Better Now","Post Malone",932802,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
111,"Girls Like You (feat. Cardi B)","Maroon 5",927976,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
112,"Ransom (with Juice WRLD) - Remix","Lil Tecca",923963,https://open.spotify.com/track/0DZJACISivjWjscIp5Kg1q
113,"Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","Megan Thee Stallion",915744,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk
114,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",910781,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
115,INTRO,DaBaby,905256,https://open.spotify.com/track/05WepN8vrMLJG5r8XRdLeL
116,Indeciso,Reik,889958,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
117,"Bad Bad Bad (feat. Lil Baby)","Young Thug",888954,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
118,"Te Robaré","Nicky Jam",888322,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
119,"Rescue Me",OneRepublic,888179,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
120,"Verte Ir","DJ Luian",883059,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
121,"Pop Out (feat. Lil Tjay)","Polo G",881272,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
122,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,872042,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
123,"Fuori E Dentro (feat. tha Supreme)",Gemitaiz,862327,https://open.spotify.com/track/34UHhwlly3SHryWuVfMOJm
124,goosebumps,"Travis Scott",859230,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
125,"Love Me","Lil Tecca",851071,https://open.spotify.com/track/3TLwAp3uX1nKsVxrDhNPOL
126,"God Is A Dancer (with Mabel)",Tiësto,850703,https://open.spotify.com/track/6fenHIxXuuzKB55wY4WCHP
127,"Let Me Down Slowly","Alec Benjamin",849332,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
128,"Lucid Dreams","Juice WRLD",849039,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
129,Youngblood,"5 Seconds of Summer",845902,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
130,"Don't Call Me Up",Mabel,844214,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
131,"Only Human","Jonas Brothers",844094,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
132,"High Hopes","Panic! At The Disco",839241,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
133,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",837831,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
134,"The Man","Taylor Swift",834992,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70
135,"Say You Won't Let Go","James Arthur",831938,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
136,Better,Khalid,829838,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
137,Perfect,"Ed Sheeran",826890,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
138,"Call You Mine","The Chainsmokers",822950,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT
139,"MIDDLE CHILD","J. Cole",822188,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
140,"I Like Me Better",Lauv,820673,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
141,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",819986,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
142,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,819457,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
143,"bury a friend","Billie Eilish",819110,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
144,Cuaderno,Dalex,813972,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
145,F.N,"Lil Tjay",811945,https://open.spotify.com/track/0UPBidRYcgJ2mjZlk08V8x
146,"Te Quemaste","Manuel Turizo",810273,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
147,comethru,"Jeremy Zucker",810151,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
148,"Be Alright","Dean Lewis",807431,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
149,"all the good girls go to hell","Billie Eilish",802703,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
150,"Don't Stop Me Now - Remastered",Queen,799182,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
151,"Pa Mí - Remix",Dalex,794323,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
152,"Tal Vez","Paulo Londra",794070,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
153,"bad guy (with Justin Bieber)","Billie Eilish",792262,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
154,SAD!,XXXTENTACION,786352,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
155,Myself,"Post Malone",783523,https://open.spotify.com/track/2cvOfKHOHgwQlLiuLKP2xR
156,2002,Anne-Marie,775138,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
157,"The Git Up","Blanco Brown",774844,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
158,"SOS (feat. Aloe Blacc)",Avicii,771983,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
159,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",771594,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
160,"Going Bad (feat. Drake)","Meek Mill",770946,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
161,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",760169,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
162,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",758149,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
163,"Cruel Summer","Taylor Swift",755682,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
164,Runaway,"Sebastian Yatra",753606,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ
165,"Another One Bites The Dust - Remastered 2011",Queen,752863,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
166,"Be Honest (feat. Burna Boy)","Jorja Smith",749362,https://open.spotify.com/track/5pAbCxt9e3f81lOmjIXwzd
167,"Kein Plan",Loredana,748424,https://open.spotify.com/track/2d3WpbJFBND2vwMJyULdfU
168,"Esagono (feat. Salmo)",Gemitaiz,747774,https://open.spotify.com/track/0Rsfm3UqHkNzKsb6L0Yz3Y
169,Atrévete,"Nicky Jam",746881,https://open.spotify.com/track/3KekO5WUfJsh7kYU9o2w50
170,Thunder,"Imagine Dragons",745156,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
171,Moonlight,XXXTENTACION,744131,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
172,HP,Maluma,740180,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
173,"Right Back (feat. A Boogie Wit Da Hoodie)",Khalid,739822,https://open.spotify.com/track/6PYnUsNEpYC7A4BS2sjw3L
174,"i'm so tired...",Lauv,736284,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
175,"No Te Debí Besar","C. Tangana",733095,https://open.spotify.com/track/1KdwnsWOvhM53vezy5ROuf
176,"In My Mind",Dynoro,730350,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
177,"I Know","Post Malone",715396,https://open.spotify.com/track/6b2mfHMqWCA74XmUuVJm8r
178,"Too Good At Goodbyes","Sam Smith",710003,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
179,"Nur mit Dir (feat. Xavier Naidoo)","Shirin David",700947,https://open.spotify.com/track/6hh1ikcv3CPsq3a7e9ItNR
180,"break up with your girlfriend, i'm bored","Ariana Grande",700010,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
181,"La Boca - Remix","Mau y Ricky",699754,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT
182,"All Around The World (La La La)",R3HAB,697955,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
183,"God's Plan",Drake,696871,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
184,"Pin the Grenade",blink-182,696456,https://open.spotify.com/track/330cmrgtnIj4NtPTYdDOZv
185,"MIA (feat. Drake)","Bad Bunny",696110,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
186,"Boy With Luv (feat. Halsey)",BTS,694695,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
187,Quizás,"Rich Music LTD",693452,https://open.spotify.com/track/4AjWbAwRpxk2worpjNH5CS
188,"Mad Love",Mabel,692966,https://open.spotify.com/track/0Zp10WiPeEi6EUJZvWcNT9
189,"Si Supieras","Daddy Yankee",691620,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu
190,Genick,Loredana,689068,https://open.spotify.com/track/1AGjF8pckOxTGeb5zubyqH
191,"So Am I","Ava Max",687650,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
192,"All of Me","John Legend",687633,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
193,"Here With Me",Marshmello,685435,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
194,Bruises,"Lewis Capaldi",682650,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
195,"Que Mas Pues - Remix",Sech,681435,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
196,"BUTTERFLY EFFECT","Travis Scott",681214,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
197,"Havana (feat. Young Thug)","Camila Cabello",681030,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
198,"Go Loko (feat. Tyga, Jon Z)",YG,676674,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
199,EARFQUAKE,"Tyler, The Creator",676588,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
200,"Something Just Like This","The Chainsmokers",675729,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
