,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
20,Panini,"Lil Nas X",2238568,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
21,"Old Town Road - Remix","Lil Nas X",2209179,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
22,Callaita,"Bad Bunny",2190856,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
23,"Truth Hurts",Lizzo,2119315,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
24,"boyfriend (with Social House)","Ariana Grande",2113990,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
25,Liar,"Camila Cabello",2062107,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
26,"Yo x Ti, Tu x Mi",ROSALÍA,2059695,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
27,"LA CANCIÓN","J Balvin",1991727,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
28,Tutu,Camilo,1964246,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
29,"No Guidance (feat. Drake)","Chris Brown",1939762,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
30,"No Me Conoce - Remix","Jhay Cortez",1939276,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
31,"Die For Me (feat. Future & Halsey)","Post Malone",1863337,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK
32,"Adicto (with Anuel AA & Ozuna)",Tainy,1839479,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
33,Lover,"Taylor Swift",1803137,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
34,"Money In The Grave (Drake ft. Rick Ross)",Drake,1796060,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
35,Graveyard,Halsey,1765255,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
36,"Piece Of Your Heart",MEDUZA,1695713,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
37,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,1674537,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
38,"hot girl bummer",blackbear,1672674,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
39,"It's You","Ali Gatie",1659089,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
40,"On The Road (feat. Meek Mill & Lil Baby)","Post Malone",1645753,https://open.spotify.com/track/12Fkyg9lpmaz2zmKOfw2Y2
41,"Otro Trago - Remix",Sech,1641997,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
42,"Soltera - Remix",Lunay,1627935,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
43,"Higher Love",Kygo,1615841,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
44,Takeaway,"The Chainsmokers",1557944,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
45,"The London (feat. J. Cole & Travis Scott)","Young Thug",1543093,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
46,"Slide Away","Miley Cyrus",1516051,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf
47,Wow.,"Post Malone",1512205,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
48,Motivation,Normani,1436478,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
49,"QUE PRETENDES","J Balvin",1421003,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
50,"A Thousand Bad Times","Post Malone",1393491,https://open.spotify.com/track/2J0NXdHr6MYvKDSxB7k3V2
51,"Good As Hell",Lizzo,1343363,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
52,"You Need To Calm Down","Taylor Swift",1325033,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
53,Shallow,"Lady Gaga",1322515,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
54,"7 rings","Ariana Grande",1294454,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
55,"Con Altura",ROSALÍA,1227112,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
56,Teeth,"5 Seconds of Summer",1208978,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
57,"11 PM",Maluma,1193810,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
58,"If I Can't Have You","Shawn Mendes",1189767,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
59,"Hot (feat. Gunna)","Young Thug",1164623,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
60,Sucker,"Jonas Brothers",1160422,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
61,Happier,Marshmello,1155134,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
62,"Talk (feat. Disclosure)",Khalid,1141953,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
63,"lovely (with Khalid)","Billie Eilish",1135160,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
64,Camelot,"NLE Choppa",1108199,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
65,I.F.L.Y.,Bazzi,1103523,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
66,"Ride It",Regard,1101025,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
67,"223's (feat. 9lokknine)","YNW Melly",1077622,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
68,"Post Malone (feat. RANI)","Sam Feldt",1067646,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
69,"Con Calma","Daddy Yankee",1062223,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
70,"I'm Gonna Be","Post Malone",1044267,https://open.spotify.com/track/1ckLp8lCl8LipXI0ypX72m
71,"Behind Barz - Bonus",Drake,1041656,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
72,"Staring At The Sun (feat. SZA)","Post Malone",1040360,https://open.spotify.com/track/5KE9b4x7Zj2A8XtbkqhqTe
73,"when the party's over","Billie Eilish",1038084,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
74,Allergic,"Post Malone",1032566,https://open.spotify.com/track/1YscJ7yVTlFxW3eF6pv5ba
75,"Without Me",Halsey,1030574,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
76,"One Thing Right",Marshmello,1025840,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
77,Shameless,"Camila Cabello",1008304,https://open.spotify.com/track/3UYiU57SMiAS5LqolhHJw1
78,"SICKO MODE","Travis Scott",1004755,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
79,"Baby (Lil Baby feat. DaBaby)","Quality Control",1000597,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
80,"Eastside (with Halsey & Khalid)","benny blanco",996518,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
81,"Bohemian Rhapsody - Remastered 2011",Queen,996358,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
82,"Did It Again","Lil Tecca",986489,https://open.spotify.com/track/6alCTRgBPoeAFi2N4il9Q4
83,"Dancing With A Stranger (with Normani)","Sam Smith",985385,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
84,"rockstar (feat. 21 Savage)","Post Malone",983436,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
85,"3 Nights","Dominic Fike",959278,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
86,"The Man","Taylor Swift",959133,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70
87,"Never Really Over","Katy Perry",950571,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
88,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",949870,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
89,"thank u, next","Ariana Grande",934352,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
90,"Panini - DaBaby Remix","Lil Nas X",933726,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD
91,Believer,"Imagine Dragons",929334,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
92,Suge,DaBaby,928095,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
93,Roller,"Apache 207",924245,https://open.spotify.com/track/5dhQeuLGmlhfwlI6BWfSpo
94,"Love Me","Lil Tecca",922477,https://open.spotify.com/track/3TLwAp3uX1nKsVxrDhNPOL
95,"Sweet but Psycho","Ava Max",922060,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
96,"Otro Trago",Sech,908922,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
97,"Ransom (with Juice WRLD) - Remix","Lil Tecca",904054,https://open.spotify.com/track/0DZJACISivjWjscIp5Kg1q
98,"Que Calor (feat. J Balvin & El Alfa)","Major Lazer",900220,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
99,"Calma - Remix","Pedro Capó",898854,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
100,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dimelo Flow",897604,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
101,"Shape of You","Ed Sheeran",893054,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
102,Goteo,Duki,892844,https://open.spotify.com/track/1EoEU4HY57qaITp06TkC6B
103,"Si Se Da - Remix","Myke Towers",889903,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
104,"Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","Megan Thee Stallion",885219,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk
105,Instagram,"Dimitri Vegas & Like Mike",880306,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
106,"Better Now","Post Malone",876277,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
107,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",866031,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
108,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,860933,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
109,"Rescue Me",OneRepublic,860613,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
110,"Old Town Road","Lil Nas X",854050,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
111,"Bad Bad Bad (feat. Lil Baby)","Young Thug",852342,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
112,"Say You Won't Let Go","James Arthur",843688,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
113,"Pop Out (feat. Lil Tjay)","Polo G",839912,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
114,"Verte Ir","DJ Luian",838797,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
115,"Girls Like You (feat. Cardi B)","Maroon 5",837924,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
116,"Let Me Down Slowly","Alec Benjamin",835972,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
117,Youngblood,"5 Seconds of Summer",831451,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
118,comethru,"Jeremy Zucker",826908,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
119,"Te Robaré","Nicky Jam",825740,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
120,Myself,"Post Malone",822022,https://open.spotify.com/track/2cvOfKHOHgwQlLiuLKP2xR
121,Better,Khalid,821985,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
122,"Lucid Dreams","Juice WRLD",820018,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
123,"Be Alright","Dean Lewis",819088,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
124,"I Like Me Better",Lauv,817765,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
125,"Only Human","Jonas Brothers",816987,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
126,"Call You Mine","The Chainsmokers",816695,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT
127,"Te Quemaste","Manuel Turizo",816356,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
128,goosebumps,"Travis Scott",813506,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
129,"bury a friend","Billie Eilish",811366,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
130,"all the good girls go to hell","Billie Eilish",809018,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
131,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",807525,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
132,"Don't Call Me Up",Mabel,807313,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
133,Perfect,"Ed Sheeran",800431,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
134,"High Hopes","Panic! At The Disco",794188,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
135,"MIDDLE CHILD","J. Cole",794051,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
136,Indeciso,Reik,787886,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
137,F.N,"Lil Tjay",776153,https://open.spotify.com/track/0UPBidRYcgJ2mjZlk08V8x
138,2002,Anne-Marie,773334,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
139,Cuaderno,Dalex,771805,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
140,"Cruel Summer","Taylor Swift",770479,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
141,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",770188,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
142,"bad guy (with Justin Bieber)","Billie Eilish",762269,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
143,SAD!,XXXTENTACION,760538,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
144,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,758248,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
145,"Pa Mí - Remix",Dalex,753452,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
146,"Tal Vez","Paulo Londra",751205,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
147,"Going Bad (feat. Drake)","Meek Mill",750784,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
148,"Right Back (feat. A Boogie Wit Da Hoodie)",Khalid,747863,https://open.spotify.com/track/6PYnUsNEpYC7A4BS2sjw3L
149,"I Know","Post Malone",739411,https://open.spotify.com/track/6b2mfHMqWCA74XmUuVJm8r
150,"i'm so tired...",Lauv,738809,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
151,"Be Honest (feat. Burna Boy)","Jorja Smith",738386,https://open.spotify.com/track/5pAbCxt9e3f81lOmjIXwzd
152,"SOS (feat. Aloe Blacc)",Avicii,730358,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
153,"Don't Stop Me Now - Remastered",Queen,728511,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
154,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",725719,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
155,Runaway,"Sebastian Yatra",720078,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ
156,"Too Good At Goodbyes","Sam Smith",717277,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
157,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",715884,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
158,Moonlight,XXXTENTACION,712756,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
159,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",712319,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
160,Thunder,"Imagine Dragons",706796,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
161,"Another One Bites The Dust - Remastered 2011",Queen,695198,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
162,Atrévete,"Nicky Jam",694974,https://open.spotify.com/track/3KekO5WUfJsh7kYU9o2w50
163,"Boy With Luv (feat. Halsey)",BTS,694025,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
164,Bruises,"Lewis Capaldi",692147,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
165,"The Git Up","Blanco Brown",690963,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
166,HP,Maluma,690672,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
167,Internet,"Post Malone",685287,https://open.spotify.com/track/0KAzP1Rbp0Vz5pw8i1KDDI
168,"break up with your girlfriend, i'm bored","Ariana Grande",683175,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
169,"All of Me","John Legend",676448,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
170,"So Am I","Ava Max",674697,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
171,"In My Mind",Dynoro,669482,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
172,Genick,Loredana,669343,https://open.spotify.com/track/1AGjF8pckOxTGeb5zubyqH
173,"Mad Love",Mabel,666456,https://open.spotify.com/track/0Zp10WiPeEi6EUJZvWcNT9
174,"Here With Me",Marshmello,666192,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
175,"God's Plan",Drake,664142,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
176,"I Forgot That You Existed","Taylor Swift",660790,https://open.spotify.com/track/43rA71bccXFGD4C8GOpIlN
177,"La Boca - Remix","Mau y Ricky",659465,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT
178,EARFQUAKE,"Tyler, The Creator",659361,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
179,"Havana (feat. Young Thug)","Camila Cabello",658012,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
180,"MIA (feat. Drake)","Bad Bunny",657717,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
181,Photograph,"Ed Sheeran",656068,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
182,"Kein Plan",Loredana,653157,https://open.spotify.com/track/2d3WpbJFBND2vwMJyULdfU
183,"Something Just Like This","The Chainsmokers",651891,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
184,"Jocelyn Flores",XXXTENTACION,649884,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
185,"All Around The World (La La La)",R3HAB,649249,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
186,"BUTTERFLY EFFECT","Travis Scott",648619,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
187,Closer,"The Chainsmokers",646395,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
188,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",645486,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
189,"Si Supieras","Daddy Yankee",645085,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu
190,"Go Loko (feat. Tyga, Jon Z)",YG,645005,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
191,"Pure Water (with Migos)",Mustard,644052,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
192,"Que Mas Pues - Remix",Sech,641886,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
193,"Murder On My Mind","YNW Melly",639824,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
194,"Wonderwall - Remastered",Oasis,638240,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
195,Wanted,OneRepublic,634670,https://open.spotify.com/track/6hLkeOMrhZ2CMLBp2of576
196,Desconocidos,"Mau y Ricky",633746,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
197,"wish you were gay","Billie Eilish",629042,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
198,Paradise,Bazzi,626478,https://open.spotify.com/track/0Rx0DJI556Ix5gBny6EWmn
199,Ritual,Tiësto,625870,https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa
200,"Hate Me (with Juice WRLD)","Ellie Goulding",624738,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
